company_name,industry,symbol,Series,sector,ticker,f&o
BOROSIL RENEWABLES LIMITED,Capital Goods,BORORENEW,EQ,Capital Goods,BORORENEW.NS,#N/A
Bosch Limited,Automobile and Auto Components,BOSCHLTD,EQ,Automobile and Auto Components,BOSCHLTD.NS,F&O
Bharat Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels",BPCL,EQ,"Oil, Gas & Consumable Fuels",BPCL.NS,F&O
Brigade Enterprises Limited,Realty,BRIGADE,EQ,Realty,BRIGADE.NS,#N/A
Britannia Industries Limited,Fast Moving Consumer Goods,BRITANNIA,EQ,Fast Moving Consumer Goods,BRITANNIA.NS,F&O
BSE Ltd.,Financial Services,BSE,EQ,Financial Services,BSE.NS,F&O
BIRLASOFT LIMITED,Information Technology,BSOFT,EQ,Information Technology,BSOFT.NS,#N/A
Campus Activewear Limited,Consumer Durables,CAMPUS,EQ,Consumer Durables,CAMPUS.NS,#N/A
Computer Age Management Services Limited,Financial Services,CAMS,EQ,Financial Services,CAMS.NS,F&O
Canara Bank,Financial Services,CANBK,EQ,Financial Services,CANBK.NS,F&O
Can Fin Homes Limited,Financial Services,CANFINHOME,EQ,Financial Services,CANFINHOME.NS,#N/A
Caplin Point Laboratories Limited,Healthcare,CAPLIPOINT,EQ,Healthcare,CAPLIPOINT.NS,#N/A
Carborundum Universal Limited,Capital Goods,CARBORUNIV,EQ,Capital Goods,CARBORUNIV.NS,#N/A
Cartrade Tech Limited,Consumer Services,CARTRADE,EQ,Consumer Services,CARTRADE.NS,#N/A
Castrol India Limited,"Oil, Gas & Consumable Fuels",CASTROLIND,EQ,"Oil, Gas & Consumable Fuels",CASTROLIND.NS,#N/A
CCL Products (India) Limited,Fast Moving Consumer Goods,CCL,EQ,Fast Moving Consumer Goods,CCL.NS,#N/A
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,Financial Services,CDSL.NS,F&O
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,Automobile and Auto Components,CEATLTD.NS,#N/A
Central Bank of India,Financial Services,CENTRALBK,EQ,Financial Services,CENTRALBK.NS,#N/A
Century Plyboards (India) Limited,Consumer Durables,CENTURYPLY,EQ,Consumer Durables,CENTURYPLY.NS,#N/A
Cera Sanitaryware Limited,Consumer Durables,CERA,EQ,Consumer Durables,CERA.NS,#N/A
CESC Limited,Power,CESC,EQ,Power,CESC.NS,#N/A
Capri Global Capital Limited,Financial Services,CGCL,EQ,Financial Services,CGCL.NS,#N/A
CG Power and Industrial Solutions Limited,Capital Goods,CGPOWER,EQ,Capital Goods,CGPOWER.NS,F&O
Chalet Hotels Limited,Consumer Services,CHALET,EQ,Consumer Services,CHALET.NS,#N/A
Chambal Fertilizers & Chemicals Limited,Chemicals,CHAMBLFERT,EQ,Chemicals,CHAMBLFERT.NS,#N/A
Chemplast Sanmar Limited,Chemicals,CHEMPLASTS,EQ,Chemicals,CHEMPLASTS.NS,#N/A
Chennai Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels",CHENNPETRO,EQ,"Oil, Gas & Consumable Fuels",CHENNPETRO.NS,#N/A
Choice International Limited,Financial Services,CHOICEIN,EQ,Financial Services,CHOICEIN.NS,#N/A
Cholamandalam Investment and Finance Company Limited,Financial Services,CHOLAFIN,EQ,Financial Services,CHOLAFIN.NS,F&O
Cholamandalam Financial Holdings Limited,Financial Services,CHOLAHLDNG,EQ,Financial Services,CHOLAHLDNG.NS,#N/A
CIE Automotive India Limited,Automobile and Auto Components,CIEINDIA,EQ,Automobile and Auto Components,CIEINDIA.NS,#N/A
Cipla Limited,Healthcare,CIPLA,EQ,Healthcare,CIPLA.NS,F&O
Clean Science and Technology Limited,Chemicals,CLEAN,EQ,Chemicals,CLEAN.NS,#N/A
CMS Info Systems Limited,Services,CMSINFO,EQ,Services,CMSINFO.NS,#N/A
Coal India Limited,"Oil, Gas & Consumable Fuels",COALINDIA,EQ,"Oil, Gas & Consumable Fuels",COALINDIA.NS,F&O
Cochin Shipyard Limited,Capital Goods,COCHINSHIP,EQ,Capital Goods,COCHINSHIP.NS,F&O
Coforge Limited,Information Technology,COFORGE,EQ,Information Technology,COFORGE.NS,F&O
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,Healthcare,COHANCE.NS,#N/A
Colgate Palmolive (India) Limited,Fast Moving Consumer Goods,COLPAL,EQ,Fast Moving Consumer Goods,COLPAL.NS,F&O
Container Corporation of India Limited,Services,CONCOR,EQ,Services,CONCOR.NS,F&O
Concord Biotech Limited,Healthcare,CONCORDBIO,EQ,Healthcare,CONCORDBIO.NS,#N/A
Coromandel International Limited,Chemicals,COROMANDEL,EQ,Chemicals,COROMANDEL.NS,#N/A
Craftsman Automation Limited,Automobile and Auto Components,CRAFTSMAN,EQ,Automobile and Auto Components,CRAFTSMAN.NS,#N/A
CREDITACCESS GRAMEEN LIMITED,Financial Services,CREDITACC,EQ,Financial Services,CREDITACC.NS,#N/A
CRISIL Limited,Financial Services,CRISIL,EQ,Financial Services,CRISIL.NS,#N/A
Crompton Greaves Consumer Electricals Limited,Consumer Durables,CROMPTON,EQ,Consumer Durables,CROMPTON.NS,F&O
CSB Bank Limited,Financial Services,CSBBANK,EQ,Financial Services,CSBBANK.NS,#N/A
City Union Bank Limited,Financial Services,CUB,EQ,Financial Services,CUB.NS,#N/A
Cummins India Limited,Capital Goods,CUMMINSIND,EQ,Capital Goods,CUMMINSIND.NS,F&O
Cyient Limited,Information Technology,CYIENT,EQ,Information Technology,CYIENT.NS,#N/A
Cyient DLM Limited,Capital Goods,CYIENTDLM,EQ,Capital Goods,CYIENTDLM.NS,#N/A
Dabur India Limited,Fast Moving Consumer Goods,DABUR,EQ,Fast Moving Consumer Goods,DABUR.NS,F&O
Dalmia Bharat Limited,Construction Materials,DALBHARAT,EQ,Construction Materials,DALBHARAT.NS,F&O
Dalmia Bharat Sugar and Industries Limited,Fast Moving Consumer Goods,DALMIASUG,EQ,Fast Moving Consumer Goods,DALMIASUG.NS,#N/A
Datamatics Global Services Limited,Information Technology,DATAMATICS,EQ,Information Technology,DATAMATICS.NS,#N/A
Data Patterns (India) Limited,Capital Goods,DATAPATTNS,EQ,Capital Goods,DATAPATTNS.NS,#N/A
