ticker,Company Name,Industry,stage,daily_setup_bucket,weekly_setup_bucket,combined_bucket,daily_score,weekly_score,combined_score,industry_boost,final_daily_score,final_weekly_score,final_combined_score,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,current_rank,prev_rank,prev_stage,prev_daily_setup_bucket,prev_weekly_setup_bucket,prev_score,rank_change,combined_score_change,new_daily_breakout,new_weekly_breakout,entered_stage_2,new_top_10,new_top_20
GSFC.NS,Gujarat State Fertilizers & Chemicals Limited,Chemicals,Stage 3,watchlist,weekly_watchlist,watchlist,12.43,8.23,10.54,5.0,12.43,8.23,15.54,3.69,-1.44,144290929.41,"Stage 3, weekly_volume_dryup, distribution_risk",433,589,Stage 3,watchlist,weekly_watchlist,8.69,156,6.85,False,False,False,False,False
LICHSGFIN.NS,LIC Housing Finance Limited,Financial Services,Stage 3,watchlist,weekly_watchlist,watchlist,16.97,0.22,9.43,0.0,16.97,0.22,9.43,6.61,7.64,1037940768.43,"Stage 3, volume_dryup, distribution_risk",560,714,Stage 3,watchlist,weekly_watchlist,2.16,154,7.27,False,False,False,False,False
IRCON.NS,Ircon International Limited,Construction,Stage 4,watchlist,weekly_watchlist,watchlist,12.2,4.0,8.51,0.0,12.2,4.0,8.51,0.58,-6.76,478228667.66,"Stage 4, volume_dryup, weekly_volume_dryup, downtrend",576,727,Stage 4,watchlist,weekly_watchlist,1.8,151,6.71,False,False,False,False,False
SRF.NS,SRF Limited,Chemicals,Stage 3,watchlist,weekly_watchlist,watchlist,15.78,14.41,15.16,5.0,15.78,14.41,20.16,11.05,5.04,1858733813.79,"Stage 3, volume_dryup, weekly_volume_dryup, distribution_risk",350,493,Stage 3,watchlist,weekly_watchlist,12.81,143,7.35,False,False,False,False,False
SAMHI.NS,Samhi Hotels Limited,Consumer Services,Stage 3,watchlist,weekly_watchlist,watchlist,11.36,16.28,13.57,0.0,11.36,16.28,13.57,7.77,-4.93,166580517.11,"Stage 3, distribution_risk",470,609,Stage 3,watchlist,weekly_watchlist,7.79,139,5.78,False,False,False,False,False
TATAPOWER.NS,Tata Power Company Limited,Power,Stage 2,watchlist,weekly_forming,watchlist,19.3,61.32,38.21,10.0,19.3,61.32,48.21,18.31,16.93,2587960001.15,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, weekly_strong",73,206,Stage 2,watchlist,weekly_watchlist,30.07,133,18.14,False,False,False,False,False
UNITDSPR.NS,United Spirits Ltd.,Fast Moving Consumer Goods,Stage 3,watchlist,weekly_watchlist,watchlist,14.29,26.1,19.6,2.0,14.29,26.1,21.6,-2.05,-3.31,1362828381.26,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_volume_dryup, distribution_risk",327,460,Stage 3,watchlist,weekly_watchlist,14.33,133,7.270000000000001,False,False,False,False,False
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Capital Goods,Stage 3,watchlist,weekly_watchlist,watchlist,11.54,0.44,6.55,10.0,11.54,0.44,16.55,15.64,0.71,2562351023.52,"Stage 3, volume_dryup, weekly_volume_dryup, distribution_risk",410,542,Stage 3,watchlist,weekly_watchlist,10.78,132,5.770000000000001,False,False,False,False,False
WSTCSTPAPR.NS,West Coast Paper Mills Limited,Forest Materials,Stage 3,watchlist,weekly_watchlist,watchlist,6.12,13.34,9.37,5.0,6.12,13.34,14.37,32.72,32.67,95234306.98,"Stage 3, distribution_risk",454,586,Stage 3,watchlist,weekly_watchlist,8.79,132,5.58,False,False,False,False,False
ANANTRAJ.NS,Anant Raj Limited,Realty,Stage 3,watchlist,weekly_watchlist,watchlist,20.26,12.61,16.82,0.0,20.26,12.61,16.82,8.54,1.6,1425288475.12,"Stage 3, volume_dryup, weekly_volume_dryup, distribution_risk",403,531,Stage 3,watchlist,weekly_watchlist,11.22,128,5.6,False,False,False,False,False
