ticker,Company Name,Industry,stage,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,weekly_setup_bucket,weekly_score,final_weekly_score,weekly_pivot,weekly_breakout_distance_pct,weekly_contraction_depths_pct,weekly_contraction_durations,weekly_contraction_score,weekly_base_duration_weeks,weekly_vcp_quality
MSTCLTD.NS,Mstc Limited,Services,Stage 2,74.2,60.5,1664145519.83,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,65.8,66.8,493.86,43.52,"[27.76, 16.63]","[7, 5]",0.9,14.0,strong
SOLARINDS.NS,Solar Industries India Limited,Chemicals,Stage 2,19.49,43.24,2679858416.85,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,64.07,66.57,15603.26,8.3,"[18.24, 15.07]","[5, 8]",0.9,20.0,strong
FACT.NS,Fertilizers and Chemicals Travancore Limited,Chemicals,Stage 2,23.35,28.23,921307468.1,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,64.06,66.56,953.37,4.66,"[16.23, 16.7, 8.91]","[8, 6, 10]",0.95,39.0,strong
LAURUSLABS.NS,Laurus Labs Limited,Healthcare,Stage 2,42.89,43.7,2431858469.74,"Stage 2, trend_template_ok, daily_vcp_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,63.8,66.3,1145.71,20.13,"[19.55, 15.16]","[4, 3]",0.9,10.0,strong
SAREGAMA.NS,Saregama India Limited,"Media, Entertainment & Publication",Stage 2,29.47,34.21,1285823620.99,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,65.27,66.27,370.9,25.25,"[38.08, 16.47, 16.74]","[20, 4, 3]",0.95,29.0,strong
ZEEL.NS,Zee Entertainment Enterprises Limited,"Media, Entertainment & Publication",Stage 2,46.97,25.67,6491274243.3,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,65.06,66.06,97.17,14.43,"[31.38, 15.65]","[6, 2]",0.9,14.0,strong
AEGISLOG.NS,Aegis Logistics Ltd.,"Oil, Gas & Consumable Fuels",Stage 2,62.66,41.78,4414574369.66,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,65.0,66.0,768.84,28.21,"[23.8, 15.82]","[4, 4]",0.9,11.0,strong
NETWEB.NS,Netweb Technologies India Limited,Information Technology,Stage 2,50.87,60.19,11820154127.42,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,65.8,65.8,4001.39,22.07,"[34.81, 19.26]","[8, 7]",0.9,22.0,strong
SHYAMMETL.NS,Shyam Metalics and Energy Limited,Metals & Mining,Stage 2,26.23,28.09,692808087.53,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,63.23,65.73,914.4,5.54,"[23.61, 18.27]","[16, 5]",0.9,23.0,strong
SAMMAANCAP.NS,Sammaan Capital Ltd.,Financial Services,Stage 2,29.84,28.0,4168946718.17,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,64.68,65.68,162.28,10.92,"[29.7, 20.37, 14.61]","[12, 4, 5]",0.95,28.0,strong
RATNAMANI.NS,Ratnamani Metals & Tubes Limited,Capital Goods,Stage 2,10.93,14.16,60848445.61,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_forming,60.31,65.31,3350.85,-22.45,"[30.14, 16.81]","[15, 5]",0.9,22.0,strong
ATGL.NS,Adani Total Gas Limited,"Oil, Gas & Consumable Fuels",Stage 2,36.25,27.85,9302098011.71,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_forming,64.21,65.21,861.05,-17.11,"[18.35, 9.66]","[3, 9]",0.9,19.0,strong
TVSSCS.NS,TVS Supply Chain Solutions Limited,Services,Stage 2,28.33,35.13,106909253.96,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,64.15,65.15,127.72,4.99,"[34.07, 14.51]","[7, 2]",0.9,14.0,strong
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,Stage 2,11.51,25.91,3984353062.72,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,62.64,65.14,7884.27,6.42,"[15.04, 10.57, 10.04]","[8, 2, 4]",0.95,22.0,strong
SONACOMS.NS,Sona BLW Precision Forgings Limited,Automobile and Auto Components,Stage 2,21.86,29.54,848743113.29,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,64.04,65.04,550.41,8.76,"[18.96, 15.92, 13.66]","[10, 8, 6]",0.95,34.0,strong
MINDACORP.NS,Minda Corporation Limited,Automobile and Auto Components,Stage 2,36.14,20.22,613259398.09,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,63.44,64.44,554.5,18.5,"[22.8, 9.02]","[5, 3]",0.9,14.0,strong
SFL.NS,Sheela Foam Limited,Consumer Durables,Stage 2,35.34,29.39,312243468.12,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,64.27,64.27,637.06,10.42,"[32.08, 28.17]","[12, 8]",0.9,21.0,strong
SOUTHBANK.NS,The South Indian Bank Limited,Financial Services,Stage 2,27.54,25.71,849410972.78,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,63.13,64.13,43.46,8.62,"[28.74, 12.91]","[9, 2]",0.9,17.0,strong
RAINBOW.NS,Rainbow Childrens Medicare Limited,Healthcare,Stage 2,26.74,10.71,145583527.11,"Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,61.55,64.05,1324.31,7.43,"[21.47, 13.28]","[8, 3]",0.9,15.0,strong
FEDERALBNK.NS,The Federal Bank Limited,Financial Services,Stage 2,22.39,30.26,5901747719.94,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,62.27,63.27,302.23,6.08,"[16.13, 8.15]","[4, 2]",0.9,11.0,strong
BIOCON.NS,Biocon Ltd.,Healthcare,Stage 2,9.94,15.38,1330512912.94,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,60.33,62.83,403.5,3.21,"[15.51, 16.16]","[9, 4]",0.9,20.0,strong
VMART.NS,V-Mart Retail Limited,Consumer Services,Stage 2,40.14,5.48,118295376.69,"Stage 2, daily_vcp_ok, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_breakout,62.36,62.36,691.11,5.9,"[37.59, 30.73]","[10, 7]",0.9,20.0,strong
RAJRATAN.NS,Rajratan Global Wire Limited,Automobile and Auto Components,Stage 2,22.62,10.52,27097288.64,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_forming,61.11,62.11,502.88,-9.98,"[40.02, 15.01]","[12, 2]",0.9,19.0,strong
STAR.NS,Strides Pharma Science Limited,Healthcare,Stage 2,23.12,32.54,297965790.99,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_forming,58.97,61.47,1233.15,-10.58,"[23.92, 10.39]","[3, 3]",0.9,8.0,strong
EICHERMOT.NS,Eicher Motors Limited,Automobile and Auto Components,Stage 2,10.22,12.18,3850012826.65,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_forming,60.04,61.04,8244.4,-8.3,"[11.5, 9.19]","[4, 6]",0.9,19.0,strong
FLUOROCHEM.NS,Gujarat Fluorochemicals Limited,Chemicals,Stage 1,18.75,13.53,333202181.63,"Stage 1, stage1_base_ready, weekly_vcp_ok, volume_dryup, weekly_strong, stage1_not_actionable",weekly_watchlist,56.03,58.53,3883.24,-5.45,"[21.41, 18.75]","[4, 7]",0.9,13.0,strong
GENUSPOWER.NS,Genus Power Infrastructures Limited,Capital Goods,Stage 3,36.82,16.05,191308300.57,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",weekly_watchlist,53.09,58.09,339.59,-3.15,"[43.15, 27.75]","[13, 7]",0.9,21.0,strong
BHEL.NS,Bharat Heavy Electricals Limited,Capital Goods,Stage 2,51.05,42.33,4169281443.21,"Stage 2, trend_template_ok, weekly_vcp_ok, volume_dryup",weekly_forming,52.1,57.1,425.64,-9.74,"[21.38, 10.76, 11.53]","[3, 3, 4]",0.55,13.0,moderate
JAICORPLTD.NS,Jai Corp Limited,Capital Goods,Stage 1,23.03,-0.83,57449966.09,"Stage 1, weekly_vcp_ok, weekly_strong, stage1_not_actionable, stage1_needs_more_base",weekly_watchlist,52.02,57.02,125.22,-4.81,"[40.83, 28.87]","[20, 7]",0.9,29.0,strong
HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods,Stage 3,21.34,6.36,1302750393.86,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_strong, distribution_risk",weekly_watchlist,51.67,56.67,816.32,-2.04,"[32.25, 29.7, 24.78]","[5, 3, 7]",0.95,20.0,strong
SCHAEFFLER.NS,Schaeffler India Limited,Automobile and Auto Components,Stage 1,10.71,17.15,281452365.85,"Stage 1, stage1_base_ready, weekly_vcp_ok, weekly_strong, stage1_not_actionable",weekly_watchlist,55.59,56.59,4445.9,-6.36,"[19.85, 17.39]","[11, 5]",0.9,22.0,strong
MEDPLUS.NS,Medplus Health Services Limited,Consumer Services,Stage 1,1.75,13.97,277826796.92,"Stage 1, stage1_base_ready, weekly_vcp_ok, weekly_strong, stage1_not_actionable",weekly_watchlist,56.57,56.57,906.58,-4.16,"[15.29, 14.74, 12.56, 12.33]","[4, 4, 12, 6]",1.0,36.0,strong
SURYAROSNI.NS,Surya Roshni Limited,Capital Goods,Stage 3,29.16,8.42,492907719.01,"Stage 3, weekly_vcp_ok, weekly_strong, distribution_risk",weekly_watchlist,51.56,56.56,283.04,-6.98,"[30.35, 24.62]","[7, 3]",0.9,15.0,strong
SIEMENS.NS,Siemens Ltd.,Capital Goods,Stage 3,14.96,21.37,2088223930.96,"Stage 3, weekly_vcp_ok, volume_dryup, weekly_strong, distribution_risk",weekly_watchlist,51.43,56.43,3940.54,-7.71,"[16.49, 15.52]","[7, 5]",0.9,17.0,strong
ITI.NS,ITI Limited,Telecommunication,Stage 1,8.87,6.95,218859976.44,"Stage 1, weekly_vcp_ok, volume_dryup, weekly_strong, stage1_not_actionable, stage1_needs_more_base",weekly_watchlist,51.38,56.38,320.46,-5.4,"[22.45, 13.25]","[7, 4]",0.9,14.0,strong
JSWINFRA.NS,JSW Infrastructure Ltd.,Services,Stage 2,16.82,14.72,623783486.65,"Stage 2, weekly_vcp_ok",weekly_near_pivot,55.25,56.25,296.32,-0.85,"[26.05, 13.4, 15.12]","[11, 6, 5]",0.55,28.0,moderate
PETRONET.NS,Petronet LNG Limited,"Oil, Gas & Consumable Fuels",Stage 1,3.21,16.87,896409715.01,"Stage 1, stage1_base_ready, weekly_vcp_ok, weekly_strong, stage1_not_actionable",weekly_watchlist,54.81,55.81,283.53,2.48,"[27.9, 9.27]","[4, 2]",0.9,12.0,strong
OBEROIRLTY.NS,Oberoi Realty Limited,Realty,Stage 1,17.04,12.27,709010841.47,"Stage 1, stage1_base_ready, weekly_vcp_ok, weekly_strong, stage1_not_actionable",weekly_watchlist,55.73,55.73,1751.83,-2.68,"[20.72, 10.32]","[11, 4]",0.9,19.0,strong
